文件名,解析时间(ms),内存使用(KB),AST节点数量,结果
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_302.smt2,0.832081,0,9,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3022.smt2,12.9426,264,782,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3023.smt2,12.3684,264,768,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3024.smt2,12.2728,264,756,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3025.smt2,50.7293,792,5004,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3028.smt2,12.1536,264,743,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3029.smt2,12.284,264,730,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_303.smt2,1.58405,0,31,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3030.smt2,11.8864,264,717,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3031.smt2,11.0509,264,714,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3032.smt2,11.8461,264,712,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3033.smt2,11.2088,264,684,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3034.smt2,11.4267,264,680,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3035.smt2,10.5867,264,648,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3036.smt2,50.9684,792,4997,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3037.smt2,10.3629,264,636,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3038.smt2,9.45783,264,626,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_304.smt2,1.72591,0,34,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3041.smt2,10.1733,264,615,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3042.smt2,10.1213,264,604,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3047.smt2,50.8039,792,4984,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3049.smt2,9.2876,264,567,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_305.smt2,1.38807,0,24,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3050.smt2,9.01198,264,557,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3051.smt2,9.12499,264,549,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3054.smt2,8.95762,264,540,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3055.smt2,9.01175,264,531,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3058.smt2,6.25014,264,536,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_306.smt2,1.36614,0,24,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3061.smt2,8.07691,264,496,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3062.smt2,8.14819,264,488,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3063.smt2,8.00991,264,482,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3066.smt2,7.89428,264,475,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3067.smt2,7.25865,264,469,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3068.smt2,5.85604,264,359,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3069.smt2,6.19459,264,460,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_307.smt2,1.3833,0,24,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3070.smt2,5.88417,264,351,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3071.smt2,5.73635,264,338,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3072.smt2,4.86827,264,326,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3074.smt2,4.66728,264,317,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3075.smt2,4.61292,264,313,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3076.smt2,4.49586,264,295,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3077.smt2,4.46296,264,280,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3078.smt2,4.3838,264,260,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_308.smt2,1.26863,0,24,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3080.smt2,5.7919,264,384,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3081.smt2,4.36163,264,257,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3082.smt2,4.31037,264,253,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3083.smt2,4.2026,0,238,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3084.smt2,4.10461,264,226,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3085.smt2,4.01354,264,209,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3087.smt2,4.06361,0,206,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3088.smt2,3.9537,0,202,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3089.smt2,3.8538,0,190,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_309.smt2,26.2749,528,2736,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3090.smt2,3.56841,0,181,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3091.smt2,4.92287,264,320,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3092.smt2,3.67594,264,167,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_31.smt2,8.99196,264,1276,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_310.smt2,74.8277,1056,18301,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3102.smt2,4.4651,264,256,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3105.smt2,3.40819,264,164,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3106.smt2,3.65567,264,160,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3107.smt2,3.54338,264,151,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3108.smt2,3.44467,0,145,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3109.smt2,3.40152,0,134,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_311.smt2,73.0219,1056,18276,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3113.smt2,11.6541,264,2058,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3114.smt2,4.50945,0,204,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_312.smt2,70.3933,1056,18258,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3123.smt2,3.31068,0,131,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3124.smt2,3.3021,0,127,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3125.smt2,4.07958,0,152,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3126.smt2,3.16691,0,121,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3127.smt2,2.81715,0,113,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3128.smt2,3.06249,0,110,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3129.smt2,2.94757,0,104,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_313.smt2,75.1641,1056,18240,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3130.smt2,2.83957,0,98,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3131.smt2,2.83098,0,90,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part27/non-incremental/QF_BV/sage/app8/bench_3132.smt2,2.76423,0,84,成功
