文件名,解析时间(ms),内存使用(KB),AST节点数量,结果
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31410_safety_0.smt2,18.6708,264,1499,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31417_safety_0.smt2,19.361,264,1571,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31420_safety_0.smt2,21.6634,264,1821,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31426_safety_0.smt2,12.1508,264,920,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31427_safety_0.smt2,19.3286,264,1642,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31428_safety_0.smt2,14.1659,264,1095,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31431_safety_0.smt2,19.9375,264,1688,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31445_safety_0.smt2,20.5398,264,1719,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31456_safety_0.smt2,20.8266,264,1696,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31461_safety_0.smt2,23.4592,264,2020,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31474_safety_0.smt2,19.0794,264,1584,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31483_safety_0.smt2,20.468,264,1706,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31491_safety_0.smt2,22.1448,264,1868,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part64/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31503_safety_0.smt2,20.6592,264,1766,成功
