文件名,解析时间(ms),内存使用(KB),AST节点数量,结果
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_1490.smt2,80.7059,264,3561,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14900.smt2,193.458,1056,8631,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14903.smt2,50.1816,264,1784,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14905.smt2,112.734,792,5064,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14906.smt2,1393.61,3432,220842,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14909.smt2,113.224,1056,4365,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14912.smt2,7583.86,8308,3674839,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14914.smt2,1781.38,13544,102266,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14915.smt2,2423.75,9300,369284,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14916.smt2,976.325,1848,59514,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14918.smt2,13797.2,7392,3977478,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14919.smt2,68.9769,264,2560,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_1492.smt2,26.3274,264,897,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14920.smt2,2153.52,7288,178531,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14921.smt2,1267.88,3432,113020,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14923.smt2,161.884,1056,6513,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14925.smt2,94.3055,792,3815,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14926.smt2,166.016,1056,6493,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14927.smt2,204.71,264,11616,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14928.smt2,56.3631,792,1683,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14929.smt2,40.7548,264,2007,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_1493.smt2,25.1548,264,907,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14930.smt2,167.555,1056,6500,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14932.smt2,38.2817,264,3462,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14937.smt2,9105.44,5632,3648174,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14939.smt2,382.747,792,24516,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14941.smt2,85.4692,528,5172,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14942.smt2,400.231,1056,19481,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14950.smt2,1537.57,1848,63042,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part33/non-incremental/QF_BV/Sage2/bench_14955.smt2,1169.07,1848,79261,成功
