文件名,解析时间(ms),内存使用(KB),AST节点数量,结果
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3753.smt2,0,0,0,失败
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3757.smt2,40.5519,264,2007,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3758.smt2,41.1894,264,2007,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3759.smt2,707.326,8216,27626,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_376.smt2,71.6419,264,2610,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3760.smt2,41.1768,264,2007,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3762.smt2,414.6,1056,19481,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3763.smt2,30.9267,264,1074,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3765.smt2,36.5565,264,3849,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3766.smt2,24.4441,264,924,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3768.smt2,62.6941,528,2556,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3769.smt2,0,0,0,失败
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3772.smt2,19.5549,264,622,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3774.smt2,0,0,0,失败
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3775.smt2,1186.36,3432,113060,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3778.smt2,94.806,264,4480,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3780.smt2,0,0,0,失败
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3783.smt2,2361.73,9764,377397,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3785.smt2,320.714,792,12899,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3793.smt2,1656.18,8116,120320,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3795.smt2,40.8552,264,3879,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3797.smt2,905.871,1848,59900,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3798.smt2,0,0,0,失败
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_38.smt2,4757.11,3016,3134717,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_380.smt2,228.938,528,4689921,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part35/non-incremental/QF_BV/Sage2/bench_3803.smt2,2893.89,2328,907766,成功
