文件名,解析时间(ms),内存使用(KB),AST节点数量,结果
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_2001TACAS-BallPodelskiRajamani.c_Iteration2_0.smt2,43.9851,528,3018,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_BeyerHenzingerMajumdarRybalchenko-PLDI2007-Figure4.bpl_Iteration2_0.smt2,14.899,264,955,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_BoolVsInt.c_Iteration3_0.smt2,61.2366,792,4314,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_BugFreshConstantInSSA.bpl_Iteration2_0.smt2,19.2049,264,1300,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_BugHoareAnnotationWithMinimiation.bpl_Iteration1_0.smt2,17.6592,264,1102,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_BugIntegerDivision01.c_Iteration2_0.smt2,41.2245,528,2813,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_BugIsInductiveReturnGlobalVarRenaming.bpl_Iteration1_0.smt2,17.4766,264,1102,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_BugSubstitution.bpl_Iteration3_0.smt2,11.1899,264,689,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_ConditionalExpression-SideEffects-Safe.c_Iteration1_0.smt2,62.7675,792,3968,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_ConditionalExpression-SideEffects-Safe.c_Iteration1_1.smt2,67.9376,792,4440,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_ConditionalExpression-SideEffects-Safe.c_Iteration1_2.smt2,69.2236,792,4440,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_DivisibilityInterpolantRequired02-ForwardSuccess.bpl_Iteration1_0.smt2,26.207,264,1681,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_Elevator.bpl_Iteration1_0.smt2,43.0009,528,2902,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_EuclideanIntegerDivision.bpl_Iteration4_0.smt2,24.4486,264,1594,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_GateControllerIncorrect1.bpl_Iteration1_0.smt2,19.664,264,1230,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_GoannaDoubleFreeWithoutPointers.bpl_Iteration1_0.smt2,101.437,1056,8928,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_GoannaDoubleFreeWithoutPointers.bpl_Iteration1_1.smt2,108.038,1056,9136,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_GoannaDoubleFreeWithoutPointers.c_Iteration2_0.smt2,39.3486,528,2816,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_GopanReps-CAV2006-Fig1.c_Iteration2_0.smt2,34.6661,528,2179,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_ImpulseTest.bpl_Iteration2_0.smt2,17.6976,264,1175,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_InvariantSynthesis_Disjunctive02.bpl_Iteration1_0.smt2,38.8811,528,2907,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_LabelEncodingWithUnrolling.bpl_Iteration2_0.smt2,15.7273,264,1115,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_LexIndexValue-Pointer-Reduced.bpl_Iteration1_0.smt2,8.811,264,464,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_ManyFactsAboutX.bpl_Iteration1_0.smt2,28.7933,528,1724,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_ManyFactsAboutX.bpl_Iteration1_1.smt2,28.6126,528,1733,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_MonadicInvariant01.bpl_Iteration1_0.smt2,8.93164,264,464,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_NutzTransformation05.c_Iteration1_0.smt2,15.702,264,895,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_OrderDependentEquality.c_Iteration2_0.smt2,33.1471,528,2067,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_PostfixIncrementDecrement.c_Iteration3_0.smt2,28.1761,528,1763,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_PrefixIncrementDecrement.c_Iteration3_0.smt2,27.1826,528,1742,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_PrefixIncrementDecrement.c_Iteration3_1.smt2,27.8239,528,1766,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_SAS09.c_Iteration2_0.smt2,36.6411,528,2319,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_SAS09.c_Iteration3_0.smt2,44.0576,528,2883,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_SAS09doubleLoop-incorrect.bpl_Iteration3_0.smt2,16.2535,264,1056,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_SAS09doubleLoop-incorrect.bpl_Iteration3_1.smt2,18.0688,264,1186,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_ShortCircuit-SideEffect-DoStatement-Safe.c_Iteration2_0.smt2,33.8051,528,2123,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part85/non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_ShortCircuit-SideEffect-FunctionCallExpression-Safe.c_Iteration1_0.smt2,66.0846,792,4493,成功
