parser,total,ok,timeout,fail,median_time_ms,avg_memory_kb,avg_ast_nodes,timeout_pct,fail_pct,support_pct
antlr4,13306,12969,8,329,455.25,20128.38,157290.29,0.06,2.47,97.47
cvc5,13306,8682,4624,0,37.57,35496.16,4157.22,34.75,0.0,65.25
jsmtlib,13306,13198,107,1,296.99,9537.78,22777.13,0.8,0.01,99.19
native,13306,13285,21,0,49.01,27574.74,17522.65,0.16,0.0,99.84
pysmt,13306,13095,187,24,29.97,29712.4,9536.17,1.41,0.18,98.41
smt-switch,13306,8765,4540,1,39.8,34685.74,8749.58,34.12,0.01,65.87
z3,13306,13294,12,0,20.64,24551.26,36457.33,0.09,0.0,99.91
