parser,total,ok,timeout,fail,median_time_ms,avg_memory_kb,avg_ast_nodes,timeout_pct,fail_pct,support_pct
antlr4,1753,1614,12,127,499.87,44153.05,365400.12,0.68,7.24,92.07
cvc5,1753,1131,622,0,22.67,30075.91,2405.51,35.48,0.0,64.52
jsmtlib,1753,1742,11,0,291.88,14069.19,65593.04,0.63,0.0,99.37
native,1753,1748,5,0,54.49,32060.64,27242.07,0.29,0.0,99.71
pysmt,1753,1691,55,7,84.33,31884.77,16295.2,3.14,0.4,96.46
smt-switch,1753,733,319,701,6.08,48561.44,19768.11,18.2,39.99,41.81
z3,1753,1750,3,0,24.05,27272.58,62050.04,0.17,0.0,99.83
