parser,total,ok,timeout,fail,median_time_ms,avg_memory_kb,avg_ast_nodes,timeout_pct,fail_pct,support_pct
antlr4,12154,11968,13,173,335.2,11359.72,69810.3,0.11,1.42,98.47
cvc5,12154,10536,1618,0,20.22,25458.79,661.35,13.31,0.0,86.69
jsmtlib,12154,12147,4,3,123.31,5994.89,10268.54,0.03,0.02,99.94
native,12154,12152,2,0,32.51,22365.29,4967.58,0.02,0.0,99.98
pysmt,12154,12091,47,16,4.72,26827.4,3316.41,0.39,0.13,99.48
smt-switch,12154,9107,1137,1910,20.42,25179.5,964.28,9.35,15.71,74.93
z3,12154,12152,2,0,17.35,12302.89,7584.78,0.02,0.0,99.98
