parser,total,ok,timeout,fail,median_time_ms,avg_memory_kb,avg_ast_nodes,timeout_pct,fail_pct,support_pct
antlr4,200,200,0,0,774.35,4500.48,1054.79,0.0,0.0,100.0
cvc5,200,175,25,0,12.02,24306.31,61.71,12.5,0.0,87.5
jsmtlib,200,57,0,143,1808.87,2065.96,135.05,0.0,71.5,28.5
native,200,200,0,0,38.04,17274.88,60.66,0.0,0.0,100.0
pysmt,200,9,0,191,14.72,21768.0,212.44,0.0,95.5,4.5
smt-switch,200,34,5,161,22.7,48835.18,88.21,2.5,80.5,17.0
z3,200,199,1,0,16.09,7856.88,110.59,0.5,0.0,99.5
