parser,total,ok,timeout,fail,median_time_ms,avg_memory_kb,avg_ast_nodes,timeout_pct,fail_pct,support_pct
antlr4,46191,43523,71,2597,430.46,26834.46,221041.52,0.15,5.62,94.22
cvc5,46191,38126,8064,1,92.42,54245.96,13100.51,17.46,0.0,82.54
jsmtlib,46191,46117,74,0,249.93,10547.86,20090.67,0.16,0.0,99.84
native,46191,46084,107,0,45.62,25871.08,13924.75,0.23,0.0,99.77
pysmt,46191,45872,268,51,52.35,31683.84,12566.04,0.58,0.11,99.31
smt-switch,46191,38405,7763,23,104.45,56365.55,16047.34,16.81,0.05,83.14
z3,46191,45667,523,1,22.66,19281.17,20036.36,1.13,0.0,98.87
