parser,total,ok,timeout,fail,median_time_ms,avg_memory_kb,avg_ast_nodes,timeout_pct,fail_pct,support_pct
antlr4,25452,25303,14,135,427.34,12698.08,87277.63,0.06,0.53,99.41
cvc5,25452,9270,16176,6,1266.22,35868.91,1735.44,63.55,0.02,36.42
jsmtlib,25452,25448,4,0,260.91,7461.78,8911.34,0.02,0.0,99.98
native,25452,25452,0,0,54.41,21868.91,4356.04,0.0,0.0,100.0
pysmt,25452,25271,48,133,58.98,26916.81,4135.47,0.19,0.52,99.29
smt-switch,25452,9184,16262,6,719.71,35964.53,2954.87,63.89,0.02,36.08
z3,25452,25452,0,0,20.2,10947.13,7677.43,0.0,0.0,100.0
