parser,total,ok,timeout,fail,median_time_ms,avg_memory_kb,avg_ast_nodes,timeout_pct,fail_pct,support_pct
antlr4,200,200,0,0,1552.53,5606.4,12445.75,0.0,0.0,100.0
cvc5,200,193,7,0,38.48,19347.9,716.89,3.5,0.0,96.5
jsmtlib,200,200,0,0,2883.68,2831.36,1695.15,0.0,0.0,100.0
native,200,200,0,0,79.16,17393.92,675.04,0.0,0.0,100.0
pysmt,200,200,0,0,19.61,21677.38,697.79,0.0,0.0,100.0
smt-switch,200,0,0,200,,,,0.0,100.0,0.0
z3,200,199,1,0,37.2,7836.3,1318.78,0.5,0.0,99.5
